id,scheme_name,category,english,hindi,punjabi,source_url
1,PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),direct_income_support,"Direct income transfer to eligible farmer families: ₹6,000 per year (paid in 3 instalments).","पात्र किसान परिवारों को सालाना ₹6,000 सीधा निधि हस्तांतरण (3 किस्तों में)।","ਪਾਤਰ ਕਿਸਾਨ ਪਰਿਵਾਰਾਂ ਨੂੰ ਸਾਲਾਨਾ ₹6,000 ਦੀ ਸੀਧੀ ਰਾਸ਼ੀ (3 ਕিস্তੀਆਂ ਵਿੱਚ)।",https://pmkisan.gov.in/
2,PMFBY (Pradhan Mantri Fasal Bima Yojana),crop_insurance,Crop insurance covering yield loss from natural calamities; subsidised premiums for farmers.,प्राकृतिक आपदाओं से होने वाले फसल नुकसान को कवर करने वाला फसल बीमा; किसानों के लिए सब्सिडी।,ਕੁਦਰਤੀ ਆਫ਼ਤਾਂ ਕਾਰਨ ਫ਼ਸਲ ਨੁਕਸਾਨ ਨੂ ਕਵਰ ਕਰਨ ਵਾਲਾ ਫ਼ਸਲ ਬੀਮਾ; ਕਿਸਾਨਾਂ ਲਈ ਸਬਸਿਡੀ।,https://pmfby.gov.in/
3,Kisan Credit Card (KCC),agri_credit,"Short-term credit for cultivation, animal husbandry and allied activities via a simple credit card mechanism.","खेती, पशुपालन व अन्य संबंधित गतिविधियों के लिए अल्पकालिक क्रेडिट—किसान क्रेडिट कार्ड।","ਖੇਤੀ, ਪਸ਼ੂਪਾਲਨ ਅਤੇ ਹੋਰ ਸਰਗਰਮੀਆਂ ਲਈ ਛੋਟੇ ਸਮੇਂ ਵਾਲਾ ਕਰਜ਼ਾ—ਕਿਸਾਨ ਕਰੈਡਿਟ ਕਾਰਡ।",https://fasalrin.gov.in/
4,MGNREGA (Mahatma Gandhi National Rural Employment Guarantee Act),rural_employment,Guarantees at least 100 days of wage employment in a financial year to rural households.,ग्रामीण परिवारों को वित्तीय वर्ष में कम से कम 100 दिनों का वेतनभोगी रोजगार गारंटी।,ਗ੍ਰਾਮੀਣ ਪਰਿਵਾਰਾਂ ਨੂੰ ਵਿੱਤੀਆ ਸਾਲ ਵਿਚ ਘੱਟੋ-ਘੱਟ 100 ਦਿਨਾਂ ਦੀ ਮਜ਼ਦੂਰੀ ਰੋਜ਼ਗਾਰ ਗਾਰੰਟੀ।,https://nrega.nic.in/
5,PMAY-G (Pradhan Mantri Awaas Yojana - Gramin),housing,Assistance for pucca houses to eligible rural households with basic amenities.,ग्रामीण क्षेत्रों के पात्र परिवारों को पक्का घर (बुनियादी सुविधाओं के साथ) मुहैया कराना।,ਗ੍ਰਾਮੀਣ ਖੇਤਰਾਂ ਦੇ ਪਾਤਰ ਪਰਿਵਾਰਾਂ ਲਈ ਪੱਕਾ ਘਰ (ਬੁਨਿਆਦੀ ਸੁਵਿਧਾਵਾਂ ਨਾਲ) ਪ੍ਰਦਾਨ ਕਰਨਾ।,https://pmayg.nic.in/
6,PMMY (Pradhan Mantri MUDRA Yojana),micro_credit,"Loans to non-corporate, non-farm micro and small enterprises (Shishu/Kishore/Tarun categories).","गैर-कॉर्पोरेट, गैर-कृषि लघु/सूक्ष्म उद्यमों को ऋण (शिशु/किशोर/तरुण श्रेणियाँ)।","ਗੈਰ-ਕੋਰਪੋਰੇਟ, ਗੈਰ-ਖੇਤੀ ਲਘੂ/ਸੂਛਮ ਉਦਯੋਗਾਂ ਲਈ ਕਰਜ਼ੇ (ਸ਼ਿਸ਼ੂ/ਕਿਸ਼ੋਰ/ਤਰੁਣ).",https://mudra.org.in/
7,PMJDY (Pradhan Mantri Jan Dhan Yojana),financial_inclusion,"Basic bank accounts with RuPay card, insurance and pension linkages for financial inclusion.","बेसिक बचत बैंक खाते, RuPay कार्ड और बीमा/पेंशन सुविधाओं के माध्यम से वित्तीय समावेशन।","ਬੁਨਿਆਦੀ ਬਚਤ ਖਾਤੇ, RuPay ਕਾਰਡ ਅਤੇ ਬੀਮਾ/ਪੈਨਸ਼ਨ ਸਹੂਲਤਾਂ ਰਾਹੀਂ ਵਿੱਤੀ ਸ਼ਾਮਿਲੀਅਤ।",https://pmjdy.gov.in/
8,Soil Health Card Scheme,soil_advisory,Periodic soil testing and customised nutrient recommendations through Soil Health Cards.,मृदा परीक्षण और मृदा स्वास्थ्य कार्ड के माध्यम से स्थान विशेष पोषण सिफारिशें।,ਮਿੱਟੀ ਜਾਂਚ ਅਤੇ ਸੋਇਲ ਹੈਲਥ ਕਾਰਡ ਰਾਹੀਂ ਨਿਯਤ ਖਾਦ ਸਿਫਾਰਿਸ਼ਾਂ।,https://soilhealth.dac.gov.in/
9,e-NAM (National Agriculture Market),market_infrastructure,Nationwide electronic trading platform linking APMC mandis for transparent prices and wider buyers.,मंडियों को जोड़ने वाला राष्ट्रीय इलेक्ट्रॉनिक बाजार—पारदर्शी दाम व व्यापक खरीदार।,ਮੰਡੀਆਂ ਨੂੰ ਜੋੜਨ ਵਾਲਾ ਕੌਮੀ ਇਲੈਕਟ੍ਰੋਨਿਕ ਬਜ਼ਾਰ—ਪਾਰਦਰਸ਼ੀ ਕੀਮਤਾਂ ਅਤੇ ਵੱਡੇ ਖਰੀਦਦਾਰ।,https://enam.gov.in/
10,PMKSY (Pradhan Mantri Krishi Sinchai Yojana),irrigation,Integrated irrigation programme to expand water-use efficiency (including micro-irrigation).,सिंचाई सुधार और जल उपयोग की दक्षता बढ़ाने वाली समेकित योजना (माइक्रो-इरिगेशन सहित)।,ਸਿੰਚਾਈ ਸੁਧਾਰ ਅਤੇ ਪਾਣੀ ਵਰਤੋਂ ਦੀ ਦੱਖਲ ਵਧਾਉਣ ਵਾਲੀ ਯੋਜਨਾ (ਮਾਈਕ੍ਰੋ-ਸਿੰਚਾਈ ਸਮੇਤ)।,https://pmksy.gov.in/
11,RKVY (Rashtriya Krishi Vikas Yojana),agri_development,Flexi-fund for state-driven projects to boost agriculture & allied sectors.,राज्य-चालित परियोजनाओं के लिए लचीला फंड—कृषि व सहायक क्षेत्र विकास।,ਰਾਜ ਚਲਾਏ ਪ੍ਰੋਜੈਕਟਾਂ ਲਈ ਲਚਕੀਲਾ ਫੰਡ—ਕਿਸਾਨੀ ਅਤੇ ਸਹਾਇਕ ਖੇਤਰਾਂ ਦੀ ਵਧੋਤਰੀ ਲਈ।,https://rkvy.nic.in/
12,PKVY (Paramparagat Krishi Vikas Yojana),organic_agriculture,Promotes cluster-based organic farming and certification support.,क्लस्टर-आधारित जैविक खेती व प्रमाणन को बढ़ावा।,ਕਲਸਟਰ ਆਧਾਰਤ ਜੈਵਿਕ ਖੇਤੀ ਅਤੇ ਪ੍ਰਮਾਣਨ ਸਹਾਇਤਾ ਨੂੰ ਉਤਸ਼ਾਹਤ ਕਰਦਾ ਹੈ।,https://agriwelfare.gov.in/
13,NFSM (National Food Security Mission),food_security,"Programs to increase production of rice, wheat and pulses to ensure food security.","चावल, गेहूँ और दालों की पैदावार बढ़ा कर खाद्य सुरक्षा सुनिश्चित करना।","ਚਾਵਲ, ਗੇਹੂੰ ਅਤੇ ਦਾਲਾਂ ਦੀ ਉਤਪਾਦਨ ਵਧਾ ਕੇ ਖਾਣ-ਪੀਂਣ ਦੀ ਸੁਰੱਖਿਆ ਯਕੀਨੀ ਬਣਾਉਣਾ।",https://nfsm.gov.in/
14,MIDH (Mission for Integrated Development of Horticulture),horticulture,"Support for horticulture production, post-harvest infrastructure and value chains.","बागवानी उत्पादन, पोस्ट-हर्वेस्ट इंफ्रास्ट्रक्चर और मूल्य श्रृंखलाओं के लिए समर्थन।","ਬਾਗਬਾਨੀ ਉਤਪਾਦਨ, ਪੋਸਟ-ਹਾਰਵੇਸਟ ਢਾਂਚਾ ਅਤੇ ਵੈਲਯੂ ਚੇਨ ਲਈ ਸਹਾਇਤਾ।",https://nhb.gov.in/
15,KVK (Krishi Vigyan Kendra),extension,"Local extension centres offering advisories, demonstrations and farmer training.","स्थानीय कृषि विज्ञान केंद्र—सलाह, प्रदर्शन और प्रशिक्षण सेवाएँ।","ਥਾਂਣੀ ਅਧਾਰਤ ਐਕਸਟੇੰਸ਼ਨ ਕੇਂਦਰ—ਮਾਰਗਦਰਸ਼ਨ, ਪ੍ਰਦਰਸ਼ਨ ਅਤੇ ਕਿਸਾਨ ਟ੍ਰੇਨਿੰਗ।",https://icar.org.in/
16,NMSA (National Mission for Sustainable Agriculture),sustainable_agri,"Focuses on rainfed areas, soil health and integrated farming for sustainability.","रेनफेड क्षेत्रों, मृदा स्वास्थ्य और एकीकृत खेती पर टिकाऊ ध्यान।","ਰੈਨਫੈਡ ਖੇਤਰਾਂ, ਮਿੱਟੀ ਸਿਹਤ ਅਤੇ ਇਕੱਠੇ ਖੇਤੀ ਲਈ ਟਿਕਾਊ ਧਿਆਨ।",https://nmsa.dac.gov.in/
17,Agri Infrastructure Fund (AIF),infrastructure_finance,"Low-interest loans, credit guarantee and support for post-harvest infrastructure & storage.","पोस्ट-हार्वेस्ट इन्फ्रा, भंडारण के लिए कम ब्याज ऋण, क्रेडिट गारंटी और सहायता।","ਪੋਸਟ-ਹਾਰਵੇਸਟ ਢਾਂਚੇ ਅਤੇ ਸਟੋਰੇਜ ਲਈ ਘੱਟ ਬਿਆਜ ਕਰਜ਼ੇ, ਕਰੈਡਿਟ ਗਾਰੰਟੀ ਅਤੇ ਸਹਾਇਤਾ।",https://agriinfra.dac.gov.in/
18,Interest Subvention for Short-term Crop Loans,agri_credit_policy,Subsidy on interest rate for short-term crop loans to lower farmer borrowing cost.,कृषि ऋण पर अल्पकालिक ब्याज सब्सिडी—किसानों के उधार खर्च घटाने के लिए।,ਕਿਰਸੀ ਕਰਜ਼ਿਆਂ 'ਤੇ ਛੋਟੇ ਸਮੇਂ ਦੀ ਬਿਆਜ ਸਹਾਇਤਾ—ਕਿਸਾਨਾਂ ਦੇ ਕਰਜ਼ੇ ਖ਼ਰਚ ਘਟਾਉਣ ਲਈ।,https://dahd.gov.in/ (department pages on interest subvention & schemes)
19,Pradhan Mantri Kisan Maan-Dhan Yojana,pension_for_farmers,Voluntary pension scheme for small & marginal farmers with a fixed monthly pension after 60.,छोटे व सीमांत किसानों के लिए स्वैच्छिक पेंशन; 60 वर्ष पर मासिक पेंशन।,ਛੋਟੇ ਅਤੇ ਸੀਮਾਂਤ ਕਿਸਾਨਾਂ ਲਈ ਸੈਵੈਚਿਕ ਪੈਨਸ਼ਨ ਸਕੀਮ; 60 ਸਾਲ 'ਤੇ ਮਹੀਨਾਵਾਰ ਪੈਨਸ਼ਨ।,https://pensionseva.nic.in/
